dataset,model,representation,kind,accuracy,f1_weighted,f1_macro,roc_auc,error_rate
HC3,BernoulliNB,BoW,classical,0.8961051062243757,0.8957706455565321,0.8957583203727925,0.9690094424726681,0.10389489377562433
HC3,BernoulliNB,TF-IDF,classical,0.8961051062243757,0.8957706455565321,0.8957583203727925,0.9690094424726681,0.10389489377562433
HC3,AdaBoost,TF-IDF-s,classical,0.892005218039508,0.8918711799984393,0.8918631450205006,0.9616286090407895,0.10799478196049195
HC3,RidgeClassifier,BoW,classical,0.8867871785314946,0.8867068340288004,0.8867004064685848,0.9455235816972626,0.11321282146850542
HC3,ComplementNB,BoW,classical,0.8714125978382408,0.8713952857043301,0.8713919447662071,0.9304885924365407,0.12858740216175923
HC3,MultinomialNB,BoW,classical,0.871319418561312,0.8713023721632723,0.8712990533955124,0.9304886271661972,0.128680581438688
HC3,ComplementNB,TF-IDF,classical,0.867312709653373,0.8670924979262011,0.8671033118949463,0.9464744102339963,0.13268729034662696
HC3,MultinomialNB,TF-IDF,classical,0.8672195303764443,0.8669981520282373,0.867008999074252,0.9464744102339963,0.13278046962355572
HC3,DecisionTree [entropy],TF-IDF-s,classical,0.8616287737607157,0.8616143810702681,0.8616169979230768,0.8692790140667264,0.13837122623928433
HC3,MLP [sgd],TF-IDF-s,classical,0.8589265747297801,0.8587907606994031,0.8587814814799364,0.9344054725603588,0.14107342527021993
HC3,DecisionTree [gini],TF-IDF-s,classical,0.8544539694371972,0.8544527461689717,0.8544515229007463,0.8615803695478563,0.1455460305628028
